"","Culinary Knowledge","Culinary Skills","Algeria","Argentina","Australia","Belgium","Herzegovina","Brazil","Cameroon","Chile","Colombia","Rica","Croatia","Ecuador","England","France","Germany","Ghana","Greece","Honduras","Iran","Italy","Coast","Japan","Mexico","Netherlands","Nigeria","Portugal","Russia","Korea","Spain","Switzerland","States","Uruguay","China","India","Thailand","Turkey","Cuba","Ethiopia","Vietnam","Ireland","Gender","Age","Household.Income","Education","Census Location"
"689","Novice","Moderate",NA,NA,"4","3",NA,NA,NA,NA,NA,NA,"3",NA,"4","4","3",NA,"4",NA,NA,"5",NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,"5",NA,"2","4",NA,NA,NA,NA,NA,"3","Male","18-29","$100,000 - $149,999","Some college or Associate degree","Mountain"
"690","Novice","None",NA,NA,"4","1",NA,"3",NA,NA,NA,NA,NA,NA,"3","4",NA,NA,NA,"2",NA,NA,"2","5","2","3","2","4","2","1","3","2","2","4","1","2","3","3","4","3","3","1","Male","18-29","$150,000+","Graduate degree","Mountain"
"691","Novice","High","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3",NA,"5","3","3","3","4","2","4","5","4","4",NA,"3","4","4","3","4","3","4","3","Male","18-29","$100,000 - $149,999","Bachelor degree","South Atlantic"
"692","Advanced","High","3",NA,"5","4","3","5","5","4","3","4","4","4","4","4","4","4","5",NA,"4","5",NA,"5","5","4","3",NA,"4","4","4","4","4",NA,"4","5","5",NA,"4",NA,"4","5","Male","18-29","$0 - $24,999","Some college or Associate degree","Middle Atlantic"
"693","Intermediate","Moderate",NA,NA,"2",NA,NA,"5",NA,"5","4",NA,NA,NA,"3","3",NA,NA,"5",NA,NA,"4",NA,"1","5",NA,NA,NA,NA,NA,"4",NA,"2",NA,"4","3","4",NA,NA,NA,NA,NA,"Male","18-29","$0 - $24,999","Some college or Associate degree","East North Central"
"694","Novice","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,"4",NA,NA,NA,NA,"5",NA,NA,"2",NA,NA,NA,NA,"3","4",NA,"4",NA,"3",NA,NA,NA,NA,NA,NA,NA,"Male","18-29","$0 - $24,999","Some college or Associate degree","West South Central"
"695","Novice","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","5","3",NA,"3",NA,NA,"4",NA,"4","5",NA,NA,NA,NA,"3","3",NA,"5",NA,"3","3","4",NA,"5","2","4","3","Male","18-29","","High school degree","Pacific"
"696","Intermediate","High",NA,NA,NA,"3",NA,NA,NA,"3",NA,"3",NA,NA,"3","4","5",NA,"3",NA,NA,"4",NA,"4","5",NA,NA,"3",NA,NA,"3","5","3",NA,"4","5","5",NA,NA,NA,NA,"4","Male","18-29","$100,000 - $149,999","Some college or Associate degree","Mountain"
"697","Advanced","High",NA,"3",NA,"4",NA,"4",NA,"3",NA,NA,NA,NA,"2","4","3",NA,"4","4",NA,"4",NA,"4","4",NA,NA,NA,NA,NA,"4",NA,"3",NA,"4","4","4",NA,"3","4","4","3","Male","18-29","$100,000 - $149,999","High school degree","South Atlantic"
"698","Intermediate","Moderate",NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"3","4","4",NA,"4",NA,"3","4",NA,"4",NA,NA,NA,NA,"2",NA,NA,NA,"3",NA,"3","2",NA,NA,NA,NA,NA,"3","Male","18-29","$100,000 - $149,999","Some college or Associate degree","Pacific"
"699","Intermediate","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","4","5",NA,"5",NA,NA,"5",NA,"5","5",NA,NA,NA,NA,NA,NA,NA,"4",NA,"5","5",NA,NA,NA,NA,NA,"5","Male","30-44","$50,000 - $99,999","Bachelor degree","South Atlantic"
"700","Intermediate","Moderate","3","3",NA,"3",NA,"3","2","3","1","5","2","3","4","3","3","2","3","5","3","5","5","3","4","3","2","3","4","3","5","1",NA,"1",NA,"3","3","3","4","2","3","5","Male","30-44","$50,000 - $99,999","","East North Central"
"701","Intermediate","High",NA,"5","5","4",NA,"4",NA,"4","4","4","4","3","3","5","5",NA,"4","4",NA,"5",NA,"5","5","4",NA,"3","4","3","4","4","3",NA,"5","4","5",NA,"5",NA,"2","4","Male","30-44","$50,000 - $99,999","Bachelor degree","East South Central"
"702","Novice","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,"4","3",NA,NA,NA,NA,NA,"3",NA,"5",NA,"4",NA,NA,NA,NA,NA,NA,NA,"Male","18-29","","Some college or Associate degree","West North Central"
"703","Intermediate","High",NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,"4",NA,NA,"4",NA,"4","4",NA,NA,NA,NA,"4","4",NA,"4",NA,"4","4","4",NA,NA,NA,"4",NA,"Male","45-60","$100,000 - $149,999","Graduate degree","Pacific"
"704","Advanced","High",NA,NA,"3",NA,NA,"3",NA,NA,"3",NA,NA,NA,"3","3","3",NA,"5",NA,NA,"5",NA,"4","5",NA,NA,NA,NA,"4","4",NA,"4",NA,"4","4","5",NA,"4","3","4","3","Male","30-44","$50,000 - $99,999","Bachelor degree","South Atlantic"
"705","Novice","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,"3",NA,NA,"5",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,"5",NA,"5",NA,NA,NA,NA,NA,NA,NA,"Male","30-44","$25,000 - $49,999","Some college or Associate degree","South Atlantic"
"706","Intermediate","High",NA,NA,NA,"4",NA,NA,NA,"3",NA,"1",NA,NA,"2","4","3",NA,"4",NA,NA,"5",NA,"4","3","3",NA,NA,"3",NA,"3",NA,"3",NA,"4","2","3",NA,"3",NA,"3","4","Male","18-29","$0 - $24,999","High school degree","Pacific"
"707","Novice","Low",NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,"2","5",NA,"3",NA,NA,"5",NA,"4","5",NA,NA,NA,NA,NA,NA,NA,"5",NA,"4","1",NA,NA,"3",NA,NA,"4","Male","30-44","$50,000 - $99,999","Some college or Associate degree","Mountain"
"708","Intermediate","Moderate",NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"3","4","5",NA,"3",NA,NA,"5",NA,"4","3",NA,NA,NA,NA,NA,"3","4","3",NA,"5","3",NA,NA,NA,NA,NA,"4","Male","18-29","$25,000 - $49,999","Bachelor degree","West North Central"
"709","Novice","Moderate",NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,"3","3",NA,NA,"3",NA,NA,"3",NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,"5",NA,"4",NA,NA,NA,NA,NA,NA,NA,"Male","30-44","$25,000 - $49,999","Bachelor degree","West South Central"
"710","Intermediate","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,"3",NA,"3",NA,NA,"4",NA,"4","4",NA,NA,NA,NA,NA,NA,NA,"5",NA,"4","4","4",NA,NA,"3","3",NA,"Male","30-44","$0 - $24,999","Bachelor degree","Middle Atlantic"
"711","Intermediate","Moderate",NA,"3","4","4","2","2",NA,"3","2","2","2","3","4","3","4","2","4","3","1","5","2","4","4","3","2","3","2","4","4","4","5","2","5","4","4","2","2","2","2","3","Male","18-29","","High school degree","West North Central"
"712","Novice","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3","2",NA,"3",NA,NA,"5",NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,"4",NA,"4","4","3",NA,NA,NA,NA,"2","Male","30-44","$100,000 - $149,999","Graduate degree","South Atlantic"
"713","Novice","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","3","3",NA,"4",NA,NA,"4",NA,"3","3",NA,NA,NA,NA,NA,NA,NA,"5",NA,"5",NA,"2",NA,NA,NA,NA,"4","Male","18-29","","Some college or Associate degree","South Atlantic"
"714","Novice","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,"3",NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,"5",NA,"3",NA,NA,NA,NA,NA,NA,NA,"Male","30-44","$25,000 - $49,999","Graduate degree","Mountain"
"715","Intermediate","High",NA,"4",NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,"3",NA,"3",NA,"4",NA,NA,"4",NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,"4",NA,NA,"4","4",NA,NA,"Male","30-44","$50,000 - $99,999","Some college or Associate degree","Pacific"
"716","Intermediate","High","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"5","4",NA,NA,NA,"2",NA,"3",NA,"4",NA,"3","5","4",NA,NA,NA,NA,"2","","","","",""
"717","Novice","Moderate",NA,NA,NA,NA,NA,"4",NA,"4",NA,NA,NA,NA,"3","5","3",NA,"4",NA,NA,"5",NA,"4","3",NA,NA,NA,NA,NA,"4","4","2",NA,"5","5","5",NA,"3","4","4","3","Male","18-29","$0 - $24,999","Some college or Associate degree","Middle Atlantic"
"718","Intermediate","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","3","4",NA,"4",NA,NA,"4",NA,"4","4",NA,NA,NA,NA,NA,"4",NA,"3",NA,NA,"4","5","4","4","4",NA,NA,"Male","30-44","$50,000 - $99,999","Some college or Associate degree","South Atlantic"
"719","Novice","High",NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1","3",NA,"4",NA,NA,"5",NA,NA,"5",NA,NA,NA,"3",NA,NA,NA,"5",NA,"4",NA,"4",NA,"3",NA,NA,"3","","","","",""
"720","Novice","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,"4",NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,"Female","45-60","","Some college or Associate degree","East North Central"
"721","Novice","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","4","4",NA,NA,NA,NA,"5",NA,"3","5",NA,NA,NA,NA,NA,"3",NA,"5",NA,"3",NA,"3",NA,NA,NA,NA,"4","Male","18-29","$50,000 - $99,999","Bachelor degree","West South Central"
"722","Intermediate","Moderate",NA,NA,"5","3",NA,NA,NA,NA,NA,NA,NA,NA,"4","1","4",NA,"5",NA,NA,"5",NA,NA,"5",NA,NA,NA,"3",NA,"3","3","5",NA,"3",NA,"4",NA,"4",NA,"3","3","Male","30-44","$0 - $24,999","High school degree","Middle Atlantic"
"723","Novice","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,"4","4","4",NA,NA,NA,NA,NA,NA,"4",NA,"3","3","3",NA,NA,NA,NA,NA,"Female","> 60","$25,000 - $49,999","Some college or Associate degree","Pacific"
"725","Intermediate","Low","1","3","5","3","1","5","1","4","3","1","1","1","5","3","5","1","1","1","1","5","1","1","3","3","1","5","3","1","3","3","3","1","4","1","1","1","3","1","1","4","Male","18-29","$100,000 - $149,999","Bachelor degree","South Atlantic"
"726","Intermediate","Moderate",NA,"4","4","3",NA,NA,NA,"4","3",NA,NA,NA,"2","5","2",NA,"4",NA,NA,"5",NA,"5","4",NA,NA,"3","2","2","4","4","4",NA,"2","3","4",NA,"4",NA,"1","2","Male","30-44","$25,000 - $49,999","Some college or Associate degree","New England"
"727","Advanced","High",NA,"4",NA,"4",NA,"4",NA,"4","3","4",NA,"3","4","5","4",NA,"4",NA,NA,"5",NA,"5","4",NA,NA,NA,"4",NA,"4","3","4",NA,"4","4","3",NA,"4","3","3","3","Male","30-44","$150,000+","Graduate degree","Middle Atlantic"
"728","Novice","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,"3",NA,NA,"5",NA,"4","5",NA,NA,"5","5",NA,"5",NA,"5",NA,"5","3","5",NA,NA,NA,"3","4","Male","30-44","$25,000 - $49,999","Some college or Associate degree","New England"
"729","Novice","Low",NA,NA,"3","3",NA,NA,NA,NA,NA,NA,NA,NA,"4","3","4",NA,"3","3",NA,"4",NA,"3","3",NA,NA,NA,NA,NA,"3",NA,"4",NA,"3","3",NA,NA,"3",NA,NA,"3","Male","30-44","$50,000 - $99,999","Bachelor degree","South Atlantic"
"730","Intermediate","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","4","4",NA,"4",NA,NA,"4",NA,"5","4",NA,NA,NA,"3","4","4",NA,"3",NA,"4","4","4",NA,"4","4","4","3","Male","30-44","","Bachelor degree","East North Central"
"731","Intermediate","Moderate","2","2","3","4","2","3","2","4","2","4","2","2","3","5","3","1","3","2","2","5","3","5","5","2","3","2","2","3","3","3","3","2","4","3","3","2","3","2","3","2","Male","18-29","$50,000 - $99,999","Some college or Associate degree","Middle Atlantic"
"732","Novice","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","3",NA,"3",NA,NA,"4",NA,"4","5",NA,NA,NA,NA,NA,"4",NA,"5",NA,"4","3","4",NA,NA,"3",NA,NA,"Male","30-44","$25,000 - $49,999","Graduate degree","East North Central"
"733","Novice","Moderate",NA,"3",NA,NA,NA,"5",NA,NA,"3",NA,NA,NA,"3","3",NA,NA,NA,NA,NA,"5",NA,"5","4",NA,NA,NA,NA,NA,"4",NA,"5",NA,"4","4","3",NA,"5",NA,"3","4","Male","30-44","$50,000 - $99,999","Graduate degree","South Atlantic"
"734","Novice","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,"1",NA,"3",NA,NA,NA,NA,NA,NA,NA,"Male","30-44","$0 - $24,999","Some college or Associate degree","East South Central"
"735","Expert","High","3","4","3","5",NA,"3",NA,NA,"4",NA,NA,"3","3","4","5","3","4",NA,NA,"5",NA,"4","4","4",NA,"3","2","4","4","4","4",NA,"5","4","4",NA,"3","3","4","4","Male","30-44","$50,000 - $99,999","Graduate degree","Middle Atlantic"
"736","Novice","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,"5",NA,"2","5",NA,NA,NA,NA,NA,"4",NA,"5",NA,"3",NA,NA,NA,NA,NA,NA,NA,"Male","18-29","$150,000+","Some college or Associate degree","Mountain"
"737","Expert","High","3","5","3","4","3","4","3","3","4","3","3","3","3","3","5","4","5","3","4","5","4","2","5","4","3","2","4","2","4","5","5","3","2","5","4","4","3","4","2","2","Male","30-44","$25,000 - $49,999","Graduate degree","Middle Atlantic"
"738","Expert","Moderate","3","5","5","4","3","4","5","3","5","3","4","4","4","5","4","3","5","4","4","4","5","3","4","2","4","4","4","4","5","5","5","3","3","3","4","2","4","3","5","2","Male","30-44","$150,000+","Some college or Associate degree","South Atlantic"
"739","Advanced","High",NA,NA,"3","1",NA,"2",NA,NA,NA,NA,NA,NA,"2","1","2",NA,"3",NA,"3","5",NA,"5","5",NA,NA,NA,"1","3","4","2","4",NA,"4","5","4",NA,NA,"4","2","2","Male","30-44","","Bachelor degree","Pacific"
"740","Intermediate","High","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","1","5","5","5","5","5","4","5","Male","30-44","$25,000 - $49,999","Graduate degree",""
"741","Novice","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male","30-44","$0 - $24,999","High school degree","Middle Atlantic"
"742","Novice","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","4","3",NA,"3",NA,NA,"5",NA,"3","3",NA,NA,NA,"2",NA,NA,NA,"5",NA,"3","4",NA,NA,NA,NA,NA,"3","Male","30-44","$0 - $24,999","Some college or Associate degree","West North Central"
"743","Intermediate","High",NA,"4",NA,"4",NA,"4",NA,"3","3","4",NA,NA,"2","5","3","2","4",NA,NA,"4","3","4","4",NA,NA,"4",NA,"4","4",NA,"4",NA,"4","4","4",NA,"4","3","4","3","Male","30-44","$25,000 - $49,999","Some college or Associate degree","East South Central"
"744","Intermediate","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male","18-29","$0 - $24,999","Some college or Associate degree","South Atlantic"
"745","Advanced","High",NA,NA,NA,NA,NA,"4",NA,"4",NA,NA,NA,NA,NA,"5","4",NA,"4",NA,"5","5",NA,"5","5",NA,NA,"3",NA,"5","4",NA,"4",NA,"5","5","5","3","3","5","5",NA,"Male","18-29","","Bachelor degree","Pacific"
"746","Expert","High",NA,"4",NA,"3","3","4",NA,"4","4","4",NA,"4","3","3","3",NA,"3",NA,"3","4",NA,"5","4","3",NA,"3","2","4","4","3","3",NA,"5","5","5","3","4",NA,"5","5","Male","30-44","$50,000 - $99,999","Some college or Associate degree","West South Central"
"747","Novice","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,"3",NA,NA,NA,"Male","30-44","$50,000 - $99,999","Graduate degree","West North Central"
"748","Intermediate","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","3","4",NA,"3",NA,NA,"4",NA,"2","4","3",NA,NA,NA,NA,"3",NA,"4",NA,"2","1",NA,NA,NA,NA,NA,"3","Male","30-44","$150,000+","Bachelor degree","East North Central"
"749","Intermediate","High","3","3","3","3","3","3","3","3","3","4","4","3","3","3","3","3","3","3","4","4","3","4","4","3","3","3","3","3","3","4","3","3","2","4","4","3","4","4","3","4","Male","30-44","$150,000+","Graduate degree","Pacific"
"750","Expert","High",NA,"4",NA,"3",NA,"3",NA,"3","3","3","3","3","2","4","4",NA,"4",NA,NA,"4",NA,"3","3","2","3","5",NA,"3","5","2","3","3","3","4","5","3","4","4","3","3","Male","30-44","$25,000 - $49,999","Bachelor degree","East North Central"
"751","Advanced","High",NA,NA,"3","3",NA,NA,NA,NA,"3",NA,NA,"3","3","4","3",NA,"4",NA,"2","5",NA,"5","4",NA,NA,NA,"2","3","4","3","4",NA,"5","1","2","4","4",NA,"2","3","Male","30-44","$100,000 - $149,999","Bachelor degree","West South Central"
"752","Advanced","Moderate","3","4","5","4","3","3","4","4","4","3","3","3","2","4","3","4","3","3","3","3","3","3","3","3","3","4","2","3","4","3","2","4","4","4","4","3","4","3","3","2","","","","",""
"753","Intermediate","Moderate","3","3","3","4","2","3","5","4","4","4","2","2","4","2","3","2","3","3","2","3","3","4","3","3","4","3","3","4","3","3","4","5","3","4","2","3","4","4","5","4","Male","18-29","$25,000 - $49,999","Some college or Associate degree","Middle Atlantic"
"754","Intermediate","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","3","2",NA,"2",NA,NA,"3",NA,"5","3",NA,NA,NA,NA,"2",NA,NA,"3",NA,"4","3",NA,NA,"4","1","2",NA,"Male","18-29","$50,000 - $99,999","Bachelor degree","West South Central"
"755","Novice","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,"4",NA,"4",NA,NA,"5",NA,"4","5",NA,NA,NA,NA,NA,"5",NA,"4",NA,"4",NA,NA,NA,NA,NA,NA,"4","Male","18-29","$50,000 - $99,999","Some college or Associate degree","East North Central"
"756","Advanced","Moderate",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","4","2","3","4",NA,NA,"3","4","4","4","3","3","3","4",NA,"3","2","3",NA,"3","4","4","2",NA,"4",NA,"3","Male","18-29","$0 - $24,999","Some college or Associate degree","Pacific"
"757","Novice","Low",NA,"5",NA,"5",NA,"5",NA,NA,"5","5",NA,NA,"4","5",NA,NA,NA,NA,NA,"5",NA,NA,"5",NA,NA,"5",NA,NA,"5",NA,"5",NA,"5","2",NA,NA,"5",NA,NA,"5","Male","18-29","$25,000 - $49,999","Some college or Associate degree","Middle Atlantic"
"758","Novice","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","4","4",NA,"4",NA,NA,"5",NA,"4","5",NA,NA,NA,NA,NA,"4",NA,"5",NA,"5","4","5",NA,"5",NA,NA,"5","Male","18-29","$100,000 - $149,999","Some college or Associate degree","Pacific"
"759","Advanced","High","4","4","3","3","3","5","4","4","3","4","3","3","3","3","4","3","4","4","4","4","4","4","4","3","3","5","3","3","5","3","3","4","4","4","4","4","5","3","5","4","Male","30-44","$50,000 - $99,999","Graduate degree","New England"
"760","Intermediate","Moderate",NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,"2","3",NA,NA,"5","2",NA,"5",NA,"4","5",NA,NA,"4",NA,NA,"5",NA,"5",NA,"5","5","4",NA,"4",NA,NA,"4","Male","30-44","$25,000 - $49,999","Graduate degree","South Atlantic"
"761","Novice","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,"5",NA,NA,"5",NA,"4","4","4",NA,NA,NA,NA,NA,NA,"2",NA,"4","5","4",NA,NA,"4",NA,NA,"Male","18-29","$0 - $24,999","High school degree","West North Central"
"763","Novice","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","3",NA,NA,NA,NA,"3",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,"5",NA,"3",NA,NA,NA,NA,NA,NA,NA,"Male","18-29","","Bachelor degree","Mountain"
"764","Intermediate","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,"3",NA,"3",NA,NA,NA,NA,NA,NA,NA,"Male","30-44","$50,000 - $99,999","Bachelor degree","Mountain"
"765","Advanced","High","4","4","4",NA,"4","2",NA,"4","4","3",NA,"2","1","1","3",NA,"4","4","3","3","2","1","4","3","4","3","3","3","4","3","1","4","3","4","3","5","4","4","3","2","Male","18-29","$150,000+","High school degree","East North Central"
"766","Intermediate","Moderate",NA,NA,NA,"3",NA,NA,NA,"3",NA,NA,NA,NA,"4",NA,"5",NA,"3","3",NA,"5",NA,"2","4",NA,NA,"3","3",NA,"5",NA,"3",NA,"2","4","5",NA,NA,"3","3","3","Male","18-29","$0 - $24,999","Bachelor degree","West South Central"
"767","Advanced","High",NA,"5","5","5","3","5",NA,"5","5",NA,"5",NA,"5","5","5","5","5",NA,"5","5",NA,"5","5","5","4","5","5","4","5","5","5","5","5","5","5","5","5",NA,"4","5","Male","30-44","","Bachelor degree","South Atlantic"
"768","Intermediate","Moderate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"4","4",NA,NA,NA,"3","4","3","4","3",NA,"3","4","3",NA,"1",NA,"3","3","","","","",""
"769","Intermediate","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","4",NA,NA,NA,NA,NA,"5",NA,"5","4",NA,NA,NA,NA,NA,NA,NA,"4",NA,"4",NA,NA,NA,NA,NA,NA,"3","Male","30-44","$50,000 - $99,999","Some college or Associate degree","West South Central"
"770","Intermediate","Moderate",NA,"3",NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,"2","3","2",NA,"4",NA,NA,"5",NA,"2","4",NA,NA,NA,"2","4","4",NA,"4",NA,"3","2","4","3","4",NA,"3","2","Male","30-44","$150,000+","Graduate degree","Middle Atlantic"
"771","Intermediate","High",NA,"5","4","4",NA,"5","4","5","5","5",NA,"5","3","5","5","4","5","5","4","5","3","5","3","3","4","5","4","5","4","4","5","5","4","5","5","5","5","4","5","3","Male","30-44","$25,000 - $49,999","Some college or Associate degree","New England"
"772","Intermediate","Moderate",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","4","3",NA,"3",NA,NA,"4",NA,"5","3","3",NA,"3",NA,"3","4","4","4",NA,"3","3","3",NA,"3",NA,NA,"3","Female","> 60","","Some college or Associate degree","Pacific"
"774","Intermediate","Moderate",NA,NA,"3",NA,NA,"3",NA,NA,"3","3",NA,NA,"3","2","4",NA,"3",NA,NA,"3",NA,"3","4",NA,NA,NA,NA,NA,"3",NA,"3",NA,"3","3","4",NA,NA,NA,"3","3","Male","30-44","$50,000 - $99,999","Some college or Associate degree","Pacific"
"775","Novice","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,"3","5",NA,NA,NA,NA,NA,NA,NA,"5",NA,"5","4",NA,NA,NA,NA,NA,NA,"Male","18-29","$25,000 - $49,999","Bachelor degree","East South Central"
"776","Novice","Moderate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"5","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,"3",NA,NA,NA,"Male","45-60","$50,000 - $99,999","Some college or Associate degree","Mountain"
"777","Advanced","High",NA,NA,"3","4","3","4",NA,NA,NA,"3",NA,NA,"2","4","5",NA,"4",NA,NA,"5",NA,"3","3","3",NA,"3","2","3","4","3","3",NA,"2","4","3","3","3","3","4","2","Male","30-44","$50,000 - $99,999","Graduate degree","West North Central"
"778","Expert","High",NA,"4","3","4",NA,"4",NA,"3","2",NA,"1","3","3","5","4",NA,"3",NA,"1","5",NA,"5","5","4",NA,"3","2","4","4","4","5","3","5","3","4","2","3",NA,"4","3","Male","45-60","$100,000 - $149,999","Graduate degree","East North Central"
"779","Intermediate","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,"5",NA,"4",NA,NA,"3",NA,"5","4",NA,NA,NA,NA,NA,NA,NA,"3",NA,"3","4","4",NA,NA,"3",NA,"3","Male","18-29","$150,000+","Some college or Associate degree","East North Central"
"780","Intermediate","High","2","4","3","3","2","4","2","4","3","3","2","3","3","4","5","1","3","2","1","4","3","4","5","3",NA,"3","3","3","5",NA,"5","2","4","4","4","2","4","2","3","3","Male","30-44","$50,000 - $99,999","Bachelor degree","Mountain"
"781","Novice","Moderate","4",NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,"1","4","2",NA,"3",NA,NA,"4",NA,"4","4",NA,NA,NA,"1",NA,NA,NA,"3",NA,NA,"4","4",NA,"3","5","3","1","Male","30-44","$100,000 - $149,999","Graduate degree","Pacific"
"782","Intermediate","Low",NA,"2",NA,NA,NA,"2",NA,"2","3","2","2","2","3","2","3","2","2","2","2","3",NA,"4","3","3",NA,NA,"2","2","3","3","4","2","4","3","2","2","1","2","2","4","Male","45-60","$100,000 - $149,999","Graduate degree","West North Central"
"783","Intermediate","Moderate","2","3","4","3","2","4","2","3","4","4","2","3","3","4","3","4","4","4","2","4","2","5","5","3","2","4","2","3","4","4","4","4","4","3","4","3","4","2","3","3","Male","45-60","$150,000+","Some college or Associate degree","West South Central"
